Dataset	Nodes	Edges	AvgEdgeSize	MaxEdgeSize	Density	Overlapness
senate-bills	294	29157	7.961964536817916	99	99.1734693877551	789.6156462585034
house-bills	1494	60987	20.474297801170742	399	40.821285140562246	835.7871485943775
email-enron	148	10885	2.472576940744143	37	73.54729729729729	181.85135135135135
email-eu	1005	235263	2.3913620076255087	40	234.09253731343284	559.8
contact-primary-school	242	106879	2.0958092796526913	5	441.6487603305785	925.6115702479339
contact-high-school	327	172035	2.0502688406428926	5	526.1009174311927	1078.6483180428133
tags-ask-ubuntu	3029	271233	2.7072369512559313	5	89.54539451964345	242.42060085836908
tags-math-sx	1629	822059	2.19161520036883	5	504.6402701043585	1105.9772866789442
coauth-mag-history	1034876	1813147	1.3229495457345708	925	1.7520427568133767	2.317864169233802
coauth-dblp	1930378	3700681	2.79050612576442	280	1.9170758265997645	5.349611837681532
